,A,B,K,d,r,s,D,j,j_deg,gmm
0,101/15*theta_K^4 - 103/15*theta_K^3 + 43/3*theta_K^2 - 144/5*theta_K + 67/15,6512/135*theta_K^4 - 7306/135*theta_K^3 + 968/9*theta_K^2 - 29234/135*theta_K + 6284/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 - 2247*x^4 + 2087700*x^3 - 184305549*x^2 - 63697473995*x + 496981290961,5,True
1,-6512/15*theta_K^4 - 8704/15*theta_K^3 - 3904/3*theta_K^2 - 4432/5*theta_K + 1552/5,-1830656/135*theta_K^4 - 852224/45*theta_K^3 - 1108864/27*theta_K^2 - 456832/15*theta_K + 1219328/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 4514220*x^4 + 119371280031*x^3 + 26676316241491803*x^2 + 4626308800434471211*x - 1011443072587698113999,5,True
2,8960*theta_K^4 + 2176*theta_K^3 + 8704*theta_K^2 - 15824*theta_K - 124960/3,3388288/3*theta_K^4 + 761984/3*theta_K^3 + 3612416/3*theta_K^2 - 5959936/3*theta_K - 132833536/27,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 3557878878*x^4 + 34949933457765*x^3 - 274587691447436439*x^2 + 117698649072370730995*x + 946343765764999804058641,5,True
3,-675728/15*theta_K^4 + 258128/5*theta_K^3 - 298640/3*theta_K^2 + 1026512/5*theta_K - 642176/15,2954730112/135*theta_K^4 - 3258933376/135*theta_K^3 + 1310380544/27*theta_K^2 - 4378524928/45*theta_K + 891998848/45,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 10705014225*x^4 - 74798318526438114*x^3 + 135924133374101503852593*x^2 - 109895027809492531283440949*x - 209982182021212678422910128719,5,True
4,8573/15*theta_K^4 - 14479/15*theta_K^3 + 2564/3*theta_K^2 - 18027/5*theta_K - 1819/15,-439462/15*theta_K^4 + 295436/15*theta_K^3 - 217658/3*theta_K^2 + 1418324/15*theta_K - 3833486/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 1229168858213342764562610653136*x^4 + 10841006241851063233210656435724785*x^3 - 3122404676288582406128837221721945235*x^2 - 2220328622335023803505630802288682159327*x - 481994823093215823200373116723373367627919,5,True
5,-2066048/15*theta_K^4 - 641456/15*theta_K^3 - 1114592/3*theta_K^2 + 1343936/15*theta_K - 164096/15,-7373534336/135*theta_K^4 - 3687997312/135*theta_K^3 - 4033309568/27*theta_K^2 + 1149695872/135*theta_K + 786191488/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 90500434355462016531*x^4 + 53443776596917385065777455570*x^3 + 55545456319595397707187152479785285*x^2 + 32449617976704299788970253149821427593*x + 46872312028251112012166773149221913138742801,5,True
6,9104/3*theta_K^4 + 1616/3*theta_K^3 - 17072/3*theta_K^2 + 2512/3*theta_K - 1504,4733696/27*theta_K^4 + 555136/27*theta_K^3 - 8549632/27*theta_K^2 + 1206784/27*theta_K - 758272/9,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 13011*x^4 + 77138593*x^3 - 224140407074*x^2 + 198066753281064*x - 30540142277644033,5,True
7,-56*theta_K^4 + 85/3*theta_K^3 + 41*theta_K^2 - theta_K + 44/3,668/3*theta_K^4 + 7100/27*theta_K^3 - 20302/27*theta_K^2 + 3890/27*theta_K - 4970/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 17912151*x^4 + 211538961445*x^3 - 491020293841130*x^2 + 209897509261759452*x - 127629500558320216513,5,True
8,2612/3*theta_K^4 - 1772/3*theta_K^3 - 7609/3*theta_K^2 + 164*theta_K - 1996/3,-473324/27*theta_K^4 + 108022/9*theta_K^3 + 457156/9*theta_K^2 - 86144/27*theta_K + 359296/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 2405317*x^4 - 1400788764295*x^3 - 1383531236504112454*x^2 + 5188928287266551027472*x + 35527581659131203783318913,5,True
9,-2417*theta_K^4 + 10714/3*theta_K^3 - 3239/3*theta_K^2 + 2225/3*theta_K - 89/3,-3682414/27*theta_K^4 + 6350510/27*theta_K^3 - 2969000/27*theta_K^2 + 1573178/27*theta_K - 356728/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 320395420634895*x^4 + 20956418222909989827757*x^3 + 927107066269987476428278030*x^2 - 31640116028343810841729364542188*x - 1590996996862490638188723972848827393,5,True
10,-2536*theta_K^4 + 27925/3*theta_K^3 - 9159*theta_K^2 + 2879*theta_K - 5476/3,-305052*theta_K^4 + 26216108/27*theta_K^3 - 23690158/27*theta_K^2 + 7964066/27*theta_K - 4558106/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 102653183650493822663078702703*x^4 - 678131407458984402601142244053135*x^3 + 506439670111830428315077492142314834*x^2 - 528506494797783540852052592080311432864*x + 340125264327358037602603426211733823487,5,True
11,-54594*theta_K^4 - 3848*theta_K^3 + 94177*theta_K^2 - 38645/3*theta_K + 75734/3,-469327838/27*theta_K^4 - 45806336/27*theta_K^3 + 833234992/27*theta_K^2 - 116096374/27*theta_K + 222330634/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 4283895911476897*x^4 + 21508141431784348256531633*x^3 - 39121187238265095604973126337363394*x^2 + 24654486326766347198022802365221123526643104*x + 453943854079645249260616587793475200652601778839553,5,True
12,128*theta_K^4 - 976/3*theta_K^3 + 512/3*theta_K^2 + 176/3*theta_K - 80/3,-210688/9*theta_K^4 + 1456384/27*theta_K^3 - 1300864/27*theta_K^2 + 560384/27*theta_K + 447488/27,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 91537*x^4 - 155755577*x^3 - 239290103886*x^2 - 159591857496842*x + 1256320823603327,5,True
13,336*theta_K^4 - 256*theta_K^3 - 1024/3*theta_K^2 + 1024/3*theta_K - 2048/3,-10240/9*theta_K^4 + 85120/27*theta_K^3 - 51712/27*theta_K^2 - 145792/27*theta_K + 208000/27,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 2399627*x^4 - 2075235239*x^3 + 1445683543766150*x^2 + 13809223416728423632*x - 32590688526604422299233,5,True
14,1280/3*theta_K^4 - 1616/3*theta_K^3 - 384*theta_K^2 + 3248/3*theta_K - 1264,-13568/3*theta_K^4 + 179968/27*theta_K^3 + 26752/27*theta_K^2 - 8448*theta_K + 306176/27,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 736108555*x^4 + 732544253655925*x^3 - 1017116214866524494*x^2 - 1252835700931339139900*x - 1430640569114127470024353,5,True
15,-2832*theta_K^4 + 11648/3*theta_K^3 + 1136*theta_K^2 - 5824*theta_K + 22640/3,-205312/3*theta_K^4 + 94080*theta_K^3 + 274304/9*theta_K^2 - 3890560/27*theta_K + 5024512/27,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 988769107217*x^4 - 26230088257024637*x^3 - 29282093453095512376*x^2 - 635369452735451648784122*x + 857817110543052175432832447,5,True
16,-868/3*theta_K^4 + 1020*theta_K^3 - 7000/3*theta_K^2 + 2316*theta_K - 128,35840/3*theta_K^4 - 1196848/27*theta_K^3 + 1622128/27*theta_K^2 - 265504/9*theta_K - 2288,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 5758054174539*x^4 + 2735738935570724839103*x^3 - 423897383229186746076045560014*x^2 + 1966894861936683923521343459217854*x - 2009574796068749581828382011323529727,5,True
17,-11428/3*theta_K^4 + 34516/3*theta_K^3 - 59384/3*theta_K^2 + 50980/3*theta_K - 25888/3,-22355648/27*theta_K^4 + 54055408/27*theta_K^3 - 20895056/9*theta_K^2 + 37372448/27*theta_K - 2960/9,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 540388632136649491*x^4 + 762868817541406421262839*x^3 - 2131409122531408567469706780936*x^2 + 98347013709539869937984473386152690*x + 42669059891367081825761877668789955073,5,True
18,528*theta_K^4 + 352/3*theta_K^3 - 1616*theta_K^2 - 1984/3*theta_K - 1184/3,427648/27*theta_K^4 + 228608/27*theta_K^3 - 1000064/27*theta_K^2 - 406016/27*theta_K - 259328/27,x^5 - x^4 - 3*x^3 + 3*x^2 + x + 1,5,1,2,46384,x^5 + 2944*x^4 + 3357601*x^3 + 6763370590*x^2 + 10875429194675*x + 8015369832497152,5,True
19,-1438/3*theta_K^4 + 1314*theta_K^3 - 2435/3*theta_K^2 - 116*theta_K - 757/3,-576094/27*theta_K^4 + 173084/3*theta_K^3 - 927326/27*theta_K^2 - 143500/27*theta_K - 37460/3,x^5 - x^4 - 3*x^3 + 3*x^2 + x + 1,5,1,2,46384,x^5 + 18272411700*x^4 + 37516424988073957*x^3 + 17281734114683603171198*x^2 - 2385714466422618106111305589*x + 301244426734876361812189745938432,5,True
20,14864/3*theta_K^4 - 41824/3*theta_K^3 + 8080*theta_K^2 + 5312/3*theta_K + 9920/3,-14343664/27*theta_K^4 + 38511904/27*theta_K^3 - 22798544/27*theta_K^2 - 3406144/27*theta_K - 2745616/9,x^5 - x^4 - 3*x^3 + 3*x^2 + x + 1,5,1,2,46384,x^5 + 1957214722*x^4 + 44423728263186237331*x^3 - 2302509241594913210336300360*x^2 + 595305680386462041805629350294055321995*x - 664598957285116583496908594322132837367808,5,True
21,-11280*theta_K^4 + 94912/3*theta_K^3 - 19904*theta_K^2 - 6464/3*theta_K - 7376,-68478640/27*theta_K^4 + 184988576/27*theta_K^3 - 12256400/3*theta_K^2 - 1873472/3*theta_K - 39975664/27,x^5 - x^4 - 3*x^3 + 3*x^2 + x + 1,5,1,2,46384,x^5 + 6098755877025128853215106987954*x^4 + 32347003854168574667668342653838711*x^3 + 154231062542076135280636820359341440660*x^2 + 345194003802500284348913658187712521136915*x + 1046178949410345658795016888057618286184333312,5,True
22,7895/2*theta_K^4 - 7124/3*theta_K^3 - 76739/6*theta_K^2 - 30527/6*theta_K - 19843/2,-4464818/27*theta_K^4 + 895370/9*theta_K^3 + 14464288/27*theta_K^2 + 5754514/27*theta_K + 11220404/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 12243*x^4 + 16096065*x^3 - 39925696482*x^2 - 159681854008*x + 330082636031,5,True
23,-12592*theta_K^4 + 57472/3*theta_K^3 + 46720/3*theta_K^2 + 55424/3*theta_K + 13184,42246656/27*theta_K^4 - 22936960/9*theta_K^3 - 42379520/27*theta_K^2 - 62861696/27*theta_K - 37008512/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 10155982765*x^4 + 26022332785977*x^3 + 5008999512353778*x^2 - 1525945257452585984*x - 1385700260270914115711,5,True
24,13720*theta_K^4 - 24704/3*theta_K^3 - 134152/3*theta_K^2 - 53176/3*theta_K - 34664,26667136/27*theta_K^4 - 5367040/9*theta_K^3 - 86374016/27*theta_K^2 - 34403072/27*theta_K - 66997120/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 120999*x^4 + 1649051477*x^3 + 19788644242342*x^2 + 1468030076904083564*x - 9549459490028047720129,5,True
25,218057/6*theta_K^4 - 88513/3*theta_K^3 - 788149/6*theta_K^2 - 326303/6*theta_K - 596603/6,139733998/27*theta_K^4 - 40051078/9*theta_K^3 - 516681872/27*theta_K^2 - 215661230/27*theta_K - 389211644/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 1007423527*x^4 - 161631165324929843*x^3 - 259345683358513582458877162*x^2 + 6918961155409552923362589082221572*x - 13311461020244898985182733166499990529,5,True
26,-21544/3*theta_K^4 - 79120/3*theta_K^3 - 54808/3*theta_K^2 - 55592/3*theta_K - 17336/3,-119489536/27*theta_K^4 - 176617472/27*theta_K^3 - 63318016/27*theta_K^2 - 30941696/9*theta_K + 31758976/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 + 317616224385143179*x^4 + 42189962632551660192124575694025761*x^3 + 1602817395702974699971877311141725133382*x^2 + 3952246268251001592530134609389458787630880*x - 10126765611015173392810715781913422180415660031,5,True
27,3363480*theta_K^4 - 6111104/3*theta_K^3 - 32774152/3*theta_K^2 - 13047736/3*theta_K - 8469864,121194847360/27*theta_K^4 - 24350733568/9*theta_K^3 - 392781756032/27*theta_K^2 - 156322206464/27*theta_K - 304657889152/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 1655779218742603419*x^4 + 1134451084517474959572471052922337*x^3 - 1048147744051154630399686710735410379702*x^2 + 27037261276602821973835179809522985961203680*x - 480674038251244896079920458922055313538899877889,5,True
28,3309173/3*theta_K^4 - 1995218/3*theta_K^3 - 3577529*theta_K^2 - 4270174/3*theta_K - 8323678/3,22721979004/27*theta_K^4 - 13682272126/27*theta_K^3 - 73618230088/27*theta_K^2 - 9764911934/9*theta_K - 57105499684/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 2739335449236421715946906141194227587*x^4 - 71702165477524671497882678614644004633271809*x^3 + 355248422814845576735792021336101250296916476072*x^2 - 570454865181186400311931266709161753932952166598272*x - 279078840859913720927173843085630403181270878457724929,5,True
29,3117656/3*theta_K^4 - 2667280/3*theta_K^3 - 13619608/3*theta_K^2 - 5222312/3*theta_K - 10087736/3,21489643520/27*theta_K^4 - 26144310272/27*theta_K^3 - 103449475072/27*theta_K^2 - 14268051968/9*theta_K - 74906864000/27,x^5 - x^4 - 3*x^3 - 2*x + 1,5,3,1,-48611,x^5 - 469814407011677823948609916301*x^4 + 377550415036754362003043263344646620042815*x^3 + 486497645842332184431342282501944445744093730407112*x^2 + 49737032488553518471522402591679803770074186276487040*x + 1841738947275491903807517958412095661936099898023313409,5,True
30,3715712/3*theta_K^4 - 2409200/3*theta_K^3 + 5277808/3*theta_K^2 - 14569168/3*theta_K + 5730704/3,-50209185152/27*theta_K^4 + 32554860800/27*theta_K^3 - 71317254784/27*theta_K^2 + 196868562688/27*theta_K - 77437353344/27,x^5 + x^3 - 3*x^2 - x + 1,5,3,1,-49743,x^5 - 26443*x^4 - 61020756*x^3 - 111194711901*x^2 + 103137683691087*x - 14363260690500441,5,True
31,8960/3*theta_K^4 + 4624/3*theta_K^3 + 10864/3*theta_K^2 - 21328/3*theta_K - 20464/3,-2994560/27*theta_K^4 - 1462528/27*theta_K^3 - 3640960/27*theta_K^2 + 7191808/27*theta_K + 6605440/27,x^5 + x^3 - 3*x^2 - x + 1,5,3,1,-49743,x^5 + 381158*x^4 - 264343874679*x^3 + 44985001335557049*x^2 - 2366850306472619979429*x - 1522314902850038622976041,5,True
32,26277872/3*theta_K^4 + 12396064/3*theta_K^3 + 31989808/3*theta_K^2 - 63737536/3*theta_K - 56546176/3,462587423488/27*theta_K^4 + 216622029440/27*theta_K^3 + 563842382336/27*theta_K^2 - 1123704806912/27*theta_K - 989062592384/27,x^5 + x^3 - 3*x^2 - x + 1,5,3,1,-49743,x^5 - 17053453807501935897478*x^4 - 134113502113444818732600712040841*x^3 - 124881100765286199884617215603821999366781*x^2 + 2911973049796348479836457731677534380673312347*x - 22139404217050581741894978146151991239393929279001,5,True
33,-15805600/3*theta_K^4 - 3909392/3*theta_K^3 - 30959360/3*theta_K^2 + 31316672/3*theta_K - 7079248/3,-356091296768/27*theta_K^4 + 7722669056/27*theta_K^3 - 638352696832/27*theta_K^2 + 914652310912/27*theta_K - 272381531264/27,x^5 + x^3 - 3*x^2 - x + 1,5,3,1,-49743,x^5 + 312358650628217817818996815013*x^4 - 8167901975883624618840026545816051404*x^3 + 3307946488379491419717694881827129230365549*x^2 - 577482361005370587946121103485906623645892442339*x - 262894088981181538445834860518516074556235848377001,5,True
34,-368*theta_K^4 - 1312/3*theta_K^3 - 672*theta_K^2 + 256/3*theta_K + 112/3,239872/27*theta_K^4 + 450304/27*theta_K^3 + 752512/27*theta_K^2 + 134656/9*theta_K + 60800/9,x^5 - 4*x^2 - 2*x - 2,5,1,2,49744,x^5 + 10343*x^4 - 38376658*x^3 - 293872094840*x^2 + 290959866145287*x + 2328442264936140625,5,True
35,-5312/3*theta_K^4 - 8128/3*theta_K^3 - 15616/3*theta_K^2 - 6976/3*theta_K - 5648/3,-3966464/27*theta_K^4 - 7127296/27*theta_K^3 - 1415936/3*theta_K^2 - 6997760/27*theta_K - 4455296/27,x^5 - 4*x^2 - 2*x - 2,5,1,2,49744,x^5 + 30634403379*x^4 + 2130514979445913208*x^3 + 38066168502797997946085626*x^2 - 287295399073365121606282768257*x + 2133422383261377830540150941332625,5,True
36,-109/3*theta_K^4 + 50/3*theta_K^3 + 424/3*theta_K^2 + 34/3*theta_K - 199,-5246/27*theta_K^4 + 692/9*theta_K^3 + 20288/27*theta_K^2 + 284/3*theta_K - 3070/3,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 175377*x^4 + 1317578496*x^3 - 2490674995200*x^2 - 136167568703488*x - 36604950523936768,5,True
37,-10816*theta_K^4 - 56320/3*theta_K^3 + 10240*theta_K^2 + 115264/3*theta_K + 36592/3,-31874560/27*theta_K^4 - 57498112/27*theta_K^3 + 23746304/27*theta_K^2 + 3961600*theta_K + 34768000/27,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 10430257*x^4 - 69078641312*x^3 - 16408989005550976*x^2 + 11175588273060988928*x + 345648081630455263232,5,True
38,-12608/3*theta_K^4 + 3616/3*theta_K^3 + 46400/3*theta_K^2 + 2336*theta_K - 20976,1230208/27*theta_K^4 + 42496/27*theta_K^3 - 4061696/27*theta_K^2 - 1455616/27*theta_K + 1597312/9,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 8937585*x^4 + 347578269440*x^3 - 5453445568815104*x^2 + 41190050639721267200*x - 57828571178823936114688,5,True
39,-548/3*theta_K^4 + 602/3*theta_K^3 + 2650/3*theta_K^2 - 90*theta_K - 4004/3,61756/9*theta_K^4 + 47624/9*theta_K^3 - 412444/27*theta_K^2 - 381304/27*theta_K + 341504/27,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 79171732999951*x^4 + 40591028833813917984*x^3 - 281767539955626717465216*x^2 + 750509901439690037062481920*x - 27202847334475199062171185152,5,True
40,1183/3*theta_K^4 + 724*theta_K^3 - 866/3*theta_K^2 - 4132/3*theta_K - 499,-117134/9*theta_K^4 - 628292/27*theta_K^3 + 93076/9*theta_K^2 + 1197692/27*theta_K + 43138/3,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 27842416319*x^4 + 11087845760330528*x^3 - 2413231449360400037504*x^2 + 45631643577447077181159424*x - 28800281827017047302639972352,5,True
41,333760/3*theta_K^4 - 42968*theta_K^3 - 1286408/3*theta_K^2 - 172328/3*theta_K + 578944,143419808/27*theta_K^4 - 18369920/9*theta_K^3 - 184125344/9*theta_K^2 - 74408384/27*theta_K + 82835584/3,x^5 - 4*x^3 - 2*x^2 + 5*x + 2,5,3,1,-49856,x^5 - 237601537*x^4 + 13471920257727328*x^3 - 10697332962921501581259136*x^2 - 6655152947244388930762995712*x + 41390643462446158979566938877952,5,True
